institutionID,name,bic,environmentType,countries,brands,active,businessAccounts,aISAccount,aISAccounts,aISAccountBalances,aISAccountsWithoutBalance,aISTransactions,aISIdentity,aISStatements,pISDomesticSingle,pISDomesticSingleInstant,pISFuturePayment,pISStandingOrder,pISVRP,pISInternationalSingle,pISInternationalFuturePayment,pISInternationalFixedRecurring,pISBulkPayments,singleAuth,preAuth,embedded,domesticSinglePaymentRefund,domesticScheduledPaymentRefund,domesticPeriodicPaymentRefund,internationalSinglePaymentRefund,internationalScheduledPaymentRefund
ca_centrest,Crédit Agricole de Centre-Est,AGRIFRCC878,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_charente_perigord,Crédit Agricole Charente Périgord,AGRIFRCC824,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_cmds,Crédit Agricole Charente-Maritime Deux-Sèvres,AGRIFRCC817,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_corse,Crédit Agricole de la Corse,AGRIFRCC820,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_cotesdarmor,Crédit Agricole des Côtes d'Armor,AGRIFRCC822,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_des_savoie,Crédit Agricole des Savoie,AGRIFRCC881,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_finistere,Crédit Agricole du Finistère,AGRIFRCC829,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_franchecomte,Crédit Agricole de Franche-Comté,AGRIFRCC825,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_guadeloupe,Crédit Agricole de Guadeloupe,AGRIGPGXXXX,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_illeetvilaine,Crédit Agricole d'Ille-et-Vilaine,CEIEFR21XXX,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_languedoc,Crédit Agricole du Languedoc,CEDMFR21XXX,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_loirehauteloire,Crédit Agricole de Loire Haute-Loire,CEETFR21XXX,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_lorraine,Crédit Agricole de Lorraine,CGERFR21XXX,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_martinique,Crédit Agricole de la Martinique et de la Guyane,AGRIMQMXXXX,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_morbihan,Crédit Agricole du Morbihan,CGELFR21XXX,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_nmp,Crédit Agricole Nord Midi-Pyrénées,CEDNFR21XXX,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_nord_est,Crédit Agricole du Nord Est,CEDLFR21XXX,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_norddefrance,Crédit Agricole de Nord De France,AGRIFRCC867,LIVE,FR,,true,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_normandie,Crédit Agricole de Normandie,CGRRFR21XXX,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
